Descriptio	freq	token
Grey clay	15679	0
GREY CLAY	1748	0
Grey clay moist	103	0
Grey clay.	285	0
Grey clayey sand	390	0
Grey clays	291	0
Grey fine sand	120	0
Grey granite	250	2
Grey gravelly clay	122	0
Grey gritty clay	181	0
GREY LIMESTONE	342	2
Grey limestone	336	2
Grey loam	182	0
Grey marl	627	2
GREY MARL	543	2
GREY MARL & FLINT	134	2
GREY MARL AND FLINT	521	2
Grey mottled clay	302	0
Grey mudstone	1927	2
GREY QUARTZITE	238	2
Grey rock	820	2
Grey sand	2445	0
Grey sand clay	201	0
Grey sand.	278	0
Grey sands	116	0
Grey sandstone	4457	0
Grey sandy clay	4780	0
GREY SANDY CLAY	501	0
Grey sandy clay.	112	0
Grey sandy loam	159	0
Grey sandy mudstone	321	0
Grey sandy shale	1896	0
Grey sandy soil	114	0
GREY SCHIST	115	2
Grey shale	8386	2
GREY SHALE	264	2
Grey silt	220	0
Grey siltstone	712	2
GREY SILTSTONE	118	2
Grey silty clay	1189	0
Grey silty clay dry	103	0
Grey silty clay moist	252	0
GREY SLATE	693	2
Grey slate	537	2
Grey soil	263	0
Grey top soil	191	0
Grey topsoil	410	0
Grey yellow clay	105	0
Greyish brown clay	126	0
Greywacke	377	0
"Grit - 80%, silt - 20%"	125	0
Grit - unconsolidated - grit - 60% ; gravel - 40%	211	0
Grit - unconsolidated - grit - 60% ; silt - 35% ; mica - 05%	134	0
Grit - unconsolidated - grit - 99%	131	0
Gritty clay	337	0
Gry br zc moist	461	0
Gry br zc wet	113	0
Hard	209	2
HARD	135	2
Hard band	357	2
Hard bands	299	2
Hard basalt	4091	1
Hard black basalt	245	1
HARD BLACK QUARTZITE	225	1
Hard black shale	203	1
HARD BLACK SLATE	250	1
Hard blue basalt	2017	1
Hard blue mudstone	249	1
Hard blue mudstone with some fractures	111	0
HARD BLUE ROCK	390	1
Hard blue rock	308	1
Hard blue shale	516	1
HARD BLUE SLATE	217	1
Hard bluestone	337	1
Hard brown & grey clay	287	0
Hard brown and grey clay	157	0
Hard brown clay	778	0
Hard brown shale	197	1
Hard clay	1612	0
HARD CLAY	269	0
Hard granite	616	1
Hard grey basalt	208	1
Hard grey clay	753	0
Hard grey mudstone	139	1
HARD GREY QUARTZITE	666	1
Hard grey rock	283	1
HARD GREY ROCK	182	1
Hard grey sandstone	457	0
Hard grey sandy clay	575	0
HARD GREY SCHIST	432	1
Hard grey shale	428	1
HARD GREY SLATE	607	1
Hard layer	172	2
HARD LIMESTONE	931	1
Hard limestone	848	1
Hard limestone.	204	1
Hard mottled clay	178	0
Hard mudstone	257	1
Hard orange & grey sandy clay	100	0
HARD QUARTZITE	181	1
Hard red clay	174	0
Hard rock	1114	1
HARD ROCK	382	1
